127.0.0.1, 2019-09-30 11:00:01, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.458000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-09-30 11:00:01, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 11:00:02, GET, /welcome/images/background.jpg, HTTP/1.1, 404, 0.027000
127.0.0.1, 2019-09-30 11:00:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:49:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.033000
127.0.0.1, 2019-09-30 12:49:17, GET, /welcome/images/background.jpg, HTTP/1.1, 404, 0.014000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/default/index, HTTP/1.1, 200, 0.187000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-30 12:50:16, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-09-30 12:50:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
